tf	cell_line	fold	auc_roc	mcc	features	best_params
ATF2	HepG2	9	0.8141145471701474	0.48135986234123296	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	HepG2	10	0.866314159055707	0.5740901258154529	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	K562	1	0.8617067920918368	0.5763582576850241	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	K562	2	0.8676857461734695	0.6208389323415744	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	K562	3	0.864696269132653	0.5495508968624648	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	K562	4	0.8461615114795917	0.5268697244472061	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	K562	5	0.8501674107142857	0.5587097884497099	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	K562	6	0.8343829719387756	0.5497704318345146	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	K562	7	0.881397480867347	0.5983096870841155	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	K562	8	0.8299386160714285	0.5495508968624648	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	K562	9	0.8830677450352339	0.5843270854724905	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}
ATF2	K562	10	0.8771820948110186	0.6250158022627468	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	K562	1	0.8625239158163265	0.572547923277851	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	K562	2	0.8806600765306123	0.6518116958181936	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	K562	3	0.86083984375	0.5771884298510174	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	K562	4	0.8439094387755103	0.54044252383691	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	K562	5	0.8519411670918368	0.5636018619766345	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	K562	6	0.8246572066326532	0.4823159128709482	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	K562	7	0.8723094706632653	0.5940401295066863	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	K562	8	0.820571588010204	0.5284947946517572	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	K562	9	0.8768617873158232	0.6066822522960891	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	K562	10	0.872157270980141	0.5839306493101011	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	GM12878	1	0.9053254437869822	0.6324555320336759	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	GM12878	2	0.8816568047337279	0.5449492609130661	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF3	GM12878	3	0.8639053254437871	0.6324555320336759	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	GM12878	4	0.8520710059171599	0.6666666666666666	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}
ATF3	GM12878	5	0.8224852071005917	0.6324555320336759	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	GM12878	6	0.7514792899408284	0.6172133998483676	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}
ATF3	GM12878	7	0.9487179487179487	0.7628205128205128	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF3	GM12878	8	0.7051282051282052	0.358974358974359	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF3	GM12878	9	0.8974358974358974	0.690336947848731	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
