fileid	pos	features	r2_test	mse_test	mae_test	best_alpha
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.5642811376724014	0.010252495237857534	0.06326789769985966	279.3860772154431
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.6276377258413637	0.005432727897517999	0.052934865448065874	317.7841568313663
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.5815312246778859	0.009100961629585371	0.06107578954120914	298.5851170234047
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.5024736680662847	0.008684166425192	0.07096029519602057	344.1828365673135
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.5836943420085102	0.007408001861390584	0.06361202851862106	288.9855971194239
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.6366090989918249	0.007135278421804342	0.06415260700473807	304.1848369673935
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.6053125452860013	0.007292752882423291	0.05691799665909625	294.5853170634127
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer',)	0.5414038621113315	0.007807642374494667	0.062353932975572686	356.1822364472895
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.653746214741149	0.0056173788240940666	0.057349931823778115	300.9849969993999
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.6989092482354224	0.003456833278796213	0.042997158105022124	218.58911782356472
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7068622351982785	0.006897552062839599	0.054648347042604115	226.58871774354873
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.6867010500683564	0.004570999974158523	0.04879633606376052	284.9857971594319
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7177797279653322	0.006137795740916599	0.05097892333306932	245.7877575515103
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.5911610400155403	0.007136156102146727	0.062253120566448626	505.77475495099026
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.6977426472704003	0.005378555368290571	0.053129922208676524	286.5857171434287
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7520483976163925	0.004868596635829809	0.05196389814031139	285.7857571514303
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7306479191076927	0.0049768953658217594	0.04735965895162309	291.3854770954191
GSM1586787_ScrH-12AGQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	-1.8820778033769576	0.049067645636604165	0.06156242373699754	2.5999199839967995
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.3640383414482923	0.020757393208123576	0.09506369151766668	564.9717943588718
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.3428502740720131	0.010733985075378441	0.08180895344941459	736.9631926385277
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.29427407952430884	0.019859104954649445	0.1005040226770233	647.367673534707
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.3273507856772391	0.011154120872969945	0.08199677892433259	632.1684336867374
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.2450466808062416	0.019225042376196728	0.0889627230985582	456.17723544708946
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.2988282624422053	0.005841653114654999	0.06026615766896442	668.9665933186637
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.22300376453833137	0.0110258577465972	0.07858471263620613	391.3804760952191
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.3352374101927008	0.015630360547190632	0.08729536941599259	625.7687537507502
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.32104065782774693	0.016966584504398283	0.08742123586462794	609.7695539107822
GSM1586789_AntpWT_Exd_16mer	all	('1mer',)	0.5531556118587083	0.006446300824573742	0.0638621631308921	485.77575515103024
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.4454995101214755	0.018098551300588895	0.08782568798994554	904.1548309661933
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.2812230241144652	0.011740614090321415	0.08687031109050798	2418.479095819164
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.31896709290099357	0.019164244343658134	0.10066701077151663	1176.9411882376476
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.31764615109518957	0.011315046753579453	0.08025238330929631	1332.9333866773356
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.275293187807532	0.01845480882128934	0.08748520967241881	713.7643528705742
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.28840634830326073	0.005928480925773689	0.05941610423231982	1934.5033006601323
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.15051357369752738	0.012054519786072188	0.08330014316908993	598.5701140228045
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.2877587621317139	0.016746711555603307	0.0899072648720356	1540.123024604921
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.2896753576854889	0.017750375200416755	0.09011505028212982	1188.9405881176235
GSM1586789_AntpWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.46892039121790885	0.007661501432851805	0.06982914973845797	924.1538307661533
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.5285346783763427	0.006669642863902618	0.05862392655865783	409.7795559111823
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.4650338423391287	0.005638487326551463	0.05806054583335095	436.17823564712944
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.4409604362166215	0.005375987909973363	0.05459315914737508	416.1792358471695
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.5013269634595766	0.011781597299242242	0.06779059658018853	376.9811962392479
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.549420190304476	0.007844253197254568	0.06589094136499489	490.5755151030206
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.45542965401754865	0.011885936415180032	0.07167276861179939	437.77815563112625
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.5215987034967948	0.008162263916091948	0.0619792346212332	425.77875575115024
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.5259628303957448	0.00834728482324385	0.06469356687565928	417.77915583116624
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.4998209529189871	0.010121185492847264	0.06358582861902334	411.37947589517904
GSM1586790_AntpHQ_Exd_16mer	all	('1mer',)	0.5139978241667407	0.007703274672174793	0.059452768225216716	400.18003600720147
